# QGIS Generated Color Map Export File
INTERPOLATION:INTERPOLATED
100,247,251,255,255,100
200.818,230,240,250,255,200.818181818182
301.636,213,229,244,255,301.636363636364
402.455,194,218,238,255,402.454545454545
503.273,166,206,228,255,503.272727272727
604.091,133,188,220,255,604.090909090909
704.909,99,169,211,255,704.909090909091
805.727,70,149,200,255,805.727272727273
906.545,46,126,188,255,906.545454545455
1007.36,25,103,173,255,1007.36363636364
1108.18,8,78,152,255,1108.18181818182
1209,8,48,107,255,1209
